Open,High,Low,Close,Volume,Year,Month,Day,Variacao_Pct
93347.0,93395.0,93347.0,93395.0,0.01615008,2025,January,1,0.0
96560.0,96576.0,96560.0,96576.0,0.01406795,2025,January,15,3.41
104737.0,104767.0,104737.0,104764.0,0.65357085,2025,January,31,8.48
102408.0,102408.0,102331.0,102336.0,0.44050567,2025,February,1,-2.32
97515.0,97515.0,97498.0,97498.0,0.04368264,2025,February,15,-4.73
84621.0,84651.0,84621.0,84651.0,0.02514101,2025,February,28,-13.18
84316.0,84325.0,84288.0,84288.0,0.07470067,2025,March,1,-0.43
83984.0,84059.0,83984.0,84042.0,0.72973085,2025,March,15,-0.29
82367.0,82417.0,82366.0,82417.0,2.57117064,2025,March,31,-1.93
82537.0,82537.0,82477.0,82482.0,0.03144742,2025,April,1,0.08
84583.0,84665.0,84583.0,84665.0,0.69697478,2025,April,15,2.65
94284.0,94284.0,94242.0,94261.0,0.6929427,2025,April,30,11.33
94181.0,94181.0,94141.0,94141.0,0.0037974,2025,May,1,-0.13
103514.0,103531.0,103514.0,103530.0,0.0157769,2025,May,15,9.97
103988.0,104169.0,103977.0,104153.0,1.0922631,2025,May,31,0.6
104646.0,104710.0,104646.0,104710.0,0.50142398,2025,June,1,0.53
105475.0,105478.0,105475.0,105476.0,0.01050829,2025,June,15,0.73
108389.0,108442.0,108356.0,108359.0,0.82061823,2025,June,30,2.73
107164.0,107166.0,107163.0,107165.0,0.01781953,2025,July,1,-1.1
119862.0,119862.0,119800.0,119800.0,0.07426024,2025,July,15,11.79
117833.0,117850.0,117826.0,117826.0,0.10580595,2025,July,31,-1.65
115749.0,115749.0,115699.0,115732.0,1.88405933,2025,August,1,-1.78
118393.0,118422.0,118340.0,118340.0,1.10621014,2025,August,15,2.25
108827.0,108859.0,108827.0,108828.0,1.17628886,2025,August,31,-8.04
108268.0,108268.0,108230.0,108267.0,0.40888008,2025,September,1,-0.52
115316.0,115316.0,115247.0,115299.0,4.82060131,2025,September,15,6.5
114359.0,114360.0,114277.0,114312.0,2.05722998,2025,September,30,-0.86
114079.0,114119.0,114079.0,114115.0,0.07090843,2025,October,1,-0.17
113077.0,113091.0,113041.0,113081.0,0.87439811,2025,October,15,-0.91
108307.0,108325.0,108272.0,108325.0,2.01225969,2025,October,31,-4.21
109554.0,109570.0,109554.0,109561.0,0.01187897,2025,November,1,1.14
94511.0,94735.0,94491.0,94735.0,4.08829418,2025,November,15,-13.53
90832.0,90857.0,90829.0,90857.0,0.25828562,2025,November,30,-4.09
90369.0,90421.0,90311.0,90417.0,3.45682635,2025,December,1,-0.48
88170.0,88255.0,88163.0,88253.0,1.31903132,2025,December,15,-2.39
88390.0,88390.0,88337.0,88343.0,0.53150125,2025,December,31,0.1
